2021-11-26 11:21:47,436 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 11:22:17,417 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:22:17,453 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 41 resources
2021-11-26 11:22:17,481 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:22:17,484 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 11:22:51,796 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:22:51,831 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 41 resources
2021-11-26 11:22:51,862 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:22:51,864 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 11:23:26,955 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:23:26,997 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 41 resources
2021-11-26 11:23:27,019 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:23:27,021 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 11:23:59,726 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:23:59,752 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 41 resources
2021-11-26 11:23:59,769 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:23:59,772 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 11:24:07,248 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:24:07,278 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 41 resources
2021-11-26 11:24:07,299 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:24:07,301 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 11:24:40,867 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:24:40,917 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 41 resources
2021-11-26 11:24:40,939 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:24:40,942 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 11:25:21,298 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:25:21,300 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-11-26 11:25:21,308 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:25:21,310 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 11:25:37,109 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:25:37,111 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-11-26 11:25:37,116 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 11:25:37,119 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
